x,AR,M,P,T,rho,V
0.0,6.781684027777777,0.0881292724609375,3982027.1914170836,3198.0129418635593,3.209166712417848,105.76452699109326
220.0,6.781684027777777,0.0881292724609375,3982027.1914170836,3198.0129418635593,3.209166712417848,105.76452699109326
231.83568051838733,3.0625,0.19834411621093748,3909903.785961848,3189.9604573212087,3.158995776946409,238.03409521863966
231.83568051838733,3.0625,0.19834411621093748,3909903.785961848,3189.9604573212087,3.158995776946409,238.03409521863966
232.02782068101322,3.0147422387517047,0.20172790527343748,3906844.800159427,3189.6161032781083,3.1568650593807597,242.09500301509942
232.22342766237833,2.967654180916787,0.20499084472656248,3903848.7006012653,3189.2786030331567,3.154777921762684,246.01087839025706
232.4224795764446,2.9212340537397368,0.2084954833984375,3900580.1072606076,3188.9101525298306,3.1525007079873277,250.21681860801897
232.62495415172813,2.875479931500896,0.2118792724609375,3897374.6774060912,3188.548563506531,3.1502672442789903,254.27772640447873
232.83082873379087,2.8303897389182366,0.2155047607421875,3893886.4341347087,3188.1547802546693,3.1478364353113517,258.6286990435427
233.04008028777537,2.7859612545994037,0.21913024902343747,3890342.6526390766,3187.7544158360333,3.145366616519956,262.97967168260675
233.25268540098224,2.7421921145422816,0.22275573730468748,3886743.5124148675,3187.3474752456614,3.1428578981223807,267.3306443216708
233.4686202854897,2.6990798156822002,0.22650207519531249,3882966.436918374,3186.9200667268706,3.1402248084162188,271.826649382037
233.68786078081504,2.6566217194839123,0.2303692626953125,3879005.938697129,3186.4715172414994,3.1374634708762446,276.46768686370524
233.91038235661804,2.614815055576479,0.23435729980468747,3874856.3912572204,3186.001133109748,3.1345699072895217,281.2537567666757
234.13616011544553,2.5736569254291273,0.23834533691406248,3870640.8065903373,3185.522818252971,3.1316298569074195,286.0398266696461
234.36516879551718,2.5331443060662093,0.2423333740234375,3866359.4417644995,3185.0365798769894,3.1286434777644874,290.82589657261656
234.5973827735518,2.4932740538192952,0.2465631103515625,3861747.0100978636,3184.512222281988,3.1254256592113965,295.90203131819123
234.8327760676346,2.4540429081144444,0.2507928466796875,3857061.1923820735,3183.9789687526677,3.1221561007056007,300.97816606376597
235.07132234012388,2.415447495292741,0.25502258300781244,3852302.3089265455,3183.4368283128206,3.1188349993193762,306.0543008093406
235.3129949005982,2.3774843324620676,0.2593731689453125,3847331.5726418872,3182.869936399131,3.115365447037691,311.27546797621744
235.55776670884256,2.340149831378152,0.2638446044921875,3842142.9444621396,3182.2775208960084,3.111743147544269,316.64166756439647
235.80561037787385,2.303440302352916,0.26843688964843754,3836730.275256008,3181.6587898937414,3.1079637207722857,322.1528995738776
236.05649817700515,2.2673519581880637,0.27315002441406244,3831087.311613055,3181.012931859447,3.104022706492103,327.8091640046607
236.3104020349486,2.2318809181319366,0.27786315917968746,3825355.8229275923,3180.356101767088,3.1000190471134403,333.465428435444
236.56729354295592,2.197023211857622,0.2826971435546875,3819385.91955811,3179.671046621753,3.095847966301277,339.2667252875294
236.82714395799738,2.162774783460211,0.2875311279296875,3813323.9285846786,3178.974479085499,3.091611624998774,345.06802213961475
237.08992420597744,2.1291314954712797,0.29248596191406245,3807015.378185819,3178.2485656954314,3.0872019924771648,351.0143514130022
237.35560488498808,2.0960891328884306,0.29768249511718753,3800296.391612572,3177.4742828934645,3.0825043593993358,357.25074552899406
237.62415626859826,2.0636434072179584,0.3027581787109375,3793632.7968917796,3176.7052168893383,3.0778443223871417,363.3421072236837
237.89554830918019,2.031789960528504,0.30807556152343746,3786545.6868045456,3175.8859926871996,3.072886870159811,369.72353376097755
238.1697506412711,2.0005243695136836,0.3135137939453125,3779185.873898433,3175.0338455190094,3.067737306748792,376.2499927195736
238.44673258497087,1.969842149561653,0.3189520263671875,3771713.9834554954,3174.1672568616514,3.0625079089577536,382.7764516781697
238.7264631493747,1.9397387588295043,0.3245111083984375,3763961.0695968936,3173.266509254126,3.05708031879893,389.44794305806784
239.00891103604064,1.9102096023204764,0.3301910400390625,3755920.473913042,3172.3306471134665,3.0514497017517663,396.26446685926817
239.29404464249143,1.8812500359619337,0.33599182128906246,3747585.5061881994,3171.358697469049,3.045611188391013,403.22602308177056
239.58183206575058,1.8528553706820163,0.34179260253906246,3739126.97903176,3170.3704323755464,3.0396842921819682,410.187579304273
239.8722411059117,1.8250208764829614,0.34783508300781246,3730185.760713257,3169.3236737317056,3.033417162867666,417.4392003693797
240.1652392697416,1.797741786509031,0.3538775634765625,3721112.8218705817,3168.259281054588,3.0270555888316304,424.6908214344865
240.4607937743155,1.7710133011070017,0.36004089355468755,3711723.9919723095,3167.155471511915,3.0204702719615932,432.0874749208954
240.75887155068534,1.7448305918771998,0.36644592285156247,3701824.517406684,3165.989017412859,3.013524300369631,439.77419324990836
241.0594392475797,1.7191888057130333,0.3728509521484375,3691781.318379011,3164.80287709437,3.0064748657699174,447.4609115789215
241.36246323513535,1.694083068827033,0.3793768310546875,3681402.366318564,3163.574156681912,2.999186982424859,455.2926623292368
241.66790960866007,1.6695084907613693,0.38590270996093745,3670877.390068765,3162.325095659502,2.9917936692195344,463.12441307955197
241.9757441924262,1.645460168380846,0.3926702880859375,3659810.1052571074,3161.0083412518284,2.984016254618844,471.2462286724716
242.28593254349434,1.6219331898464,0.39955871582031244,3648387.614600417,3159.645720857248,2.9759858202776774,479.5130766866931
242.5984399555674,1.5989226385671096,0.4064471435546875,3636808.099961973,3158.2606095724204,2.9678414517376703,487.7799247009148
242.9132314628734,1.576423597128765,0.41357727050781246,3624659.009347864,3156.80327410036,2.9592926299564835,496.33683755774075
